Actor1,Actor2,Actor3,Actor4
Andy Garcia	Bridget Fonda	David Dastmalchian	Edward Norton
Helena Bonham Carter	Kenneth Branagh	Craig Sheffer	Elizabeth McGovern
Christian Slater	Elya Baskin	Brad Renfro	Calista Flockhart
Marisa Tomei	Robert Downey Jr.	Michael Keaton	
John Leguizamo	Cliff Gorman	Griffin Dunne	Julie Carmen
Kevin Connolly	Scott Bloom	Tobey Maguire	Diane Keaton
Diane Keaton	Carol Kane	Mariel Hemingway	Michael Murphy
Kenneth Branagh	Kevin Kline	Robert Downey Jr.	James McAvoy
Amanda Seyfried	Anne Archer	Channing Tatum	Dennis Farina
Anthony Hopkins	Colin Farrell	Adam Garcia	Angelina Jolie
