Actor1,Actor2,Actor3,Actor4
Keanu Reeves	Anthony Hopkins	Carrie-Anne Moss	Christian Slater
Gemma Jones	Holly Aird	John Leguizamo	Robert Loggia
DeForest Kelley	Helmut Qualtinger	Hope Davis	Kevin Kline
Bonnie Hunt	Chris Evans	Joaquim de Almeida	Scarlett Johansson
Robert Downey Jr.	Denise Richards	Peter Sarsgaard	Vincent Laresca
Elliott Gould	Michael Caine	Sam Shepard	Woody Allen
Elliott Gould	Sam Shepard	Al Pacino	Andy Garcia
Embeth Davidtz	Ben Stiller	Bonnie Hunt	Chris Evans
Meryl Streep	Elliott Gould	Goldie Hawn	Kevin Costner
Scarlett Johansson	Tyrese Gibson	Winona Ryder	Abbie Cornish
